Date,Price,Open,High,Low,Vol.,Change %
31-Jul-15,498.12,497.12,503.38,495.88,-,0.15%
30-Jul-15,497.38,496.38,504.38,493.88,-,0.28%
29-Jul-15,496,511.75,512.38,495.88,-,-3.15%
28-Jul-15,512.12,502.88,512.38,501.88,-,1.99%
27-Jul-15,502.12,510.62,511.62,501.38,-,-2.00%
24-Jul-15,512.38,520.5,523.38,509.62,-,-1.94%
23-Jul-15,522.5,516.62,526.62,516.62,-,1.19%
22-Jul-15,516.38,524.25,528.12,515.38,-,-1.43%
21-Jul-15,523.88,533.5,537.62,523.88,-,-2.03%
20-Jul-15,534.75,551,551,530.62,-,-3.52%
17-Jul-15,554.25,560.75,561.25,546.25,-,-1.49%
16-Jul-15,562.62,566.88,573.75,561.88,-,-0.79%
15-Jul-15,567.12,568.88,569.38,558.88,-,-0.66%
14-Jul-15,570.88,575,582.38,569.5,-,-0.80%
13-Jul-15,575.5,574.25,576.62,567,-,0.07%
10-Jul-15,575.12,576.62,587.38,570,-,-0.39%
9-Jul-15,577.38,576.38,586.12,575.38,-,-0.15%
8-Jul-15,578.25,583.75,587.62,573.12,-,-1.05%
7-Jul-15,584.38,592.88,593.12,578.38,-,-1.77%
6-Jul-15,594.88,585.5,599.62,572.38,-,1.13%
3-Jul-15,588.25,588.25,588.25,588.25,-,0.00%
2-Jul-15,588.25,587.5,600.62,574.12,-,0.17%
1-Jul-15,587.25,614.25,615,576.12,-,-4.76%
30-Jun-15,616.62,583,617.12,576.38,-,5.56%
29-Jun-15,584.12,565.5,591.38,564.12,-,4.17%
26-Jun-15,560.75,532,566.12,530.38,-,5.33%
25-Jun-15,532.38,517.75,532.62,513.12,-,2.75%
24-Jun-15,518.12,521.75,529.88,514.12,-,-0.86%
23-Jun-15,522.62,501.88,522.62,501.88,-,4.16%
22-Jun-15,501.75,487.88,504.12,487.38,-,2.63%
19-Jun-15,488.88,487.75,492.25,483.62,-,0.20%
18-Jun-15,487.88,491.38,497.88,487.38,-,-0.76%
17-Jun-15,491.62,490.12,499.62,489.62,-,0.61%
16-Jun-15,488.62,489.12,494.88,487.12,-,-0.05%
