Kyle Juszczyk,RB,SF,CAR,3.3,4800,0,13.3,6.65
Trent Taylor,WR,SF,CAR,2.9,4500,0,12.8,6.4
Victor Bolden,WR,SF,CAR,2.1,4500,0,12.1,6.05
Raheem Mostert,RB,SF,CAR,1.2,4500,0,11.6,5.8
DeMarco Murray,RB,TEN,OAK,14.2,7600,4.7,22.1,8.7
Delanie Walker,TE,TEN,OAK,9.1,6100,2.2,16,6.9
Marcus Mariota,QB,TEN,OAK,19.5,7800,8.8,31.2,11.2
Rishard Matthews,WR,TEN,OAK,9.8,6100,1.9,19,8.55
Corey Davis,WR,TEN,OAK,8.5,5500,1.1,17.8,8.35
Eric Decker,WR,TEN,OAK,9.7,6500,1.6,18.8,8.6
Derrick Henry,RB,TEN,OAK,8.1,5800,0.8,17.2,8.2
Ryan Succop,K,TEN,OAK,7.2,4600,2.5,12.6,5.05
Tennessee Titans,DEF,TEN,OAK,5.9,4500,1.7,10.1,4.2
Jonnu Smith,TE,TEN,OAK,1.6,4500,0,10.9,5.45
Taywan Taylor,WR,TEN,OAK,3.3,4900,0,13.2,6.6
Jordan Reed,TE,WAS,PHI,11.9,7100,3,17.9,7.45
Terrelle Pryor,WR,WAS,PHI,10.8,6200,2.8,19.9,8.55
Jamison Crowder,WR,WAS,PHI,10.2,6500,2.5,19.4,8.45
Rob Kelley,RB,WAS,PHI,8.5,5800,1.8,17.6,7.9
Kirk Cousins,QB,WAS,PHI,18.1,8100,8.1,29.4,10.65
Chris Thompson,RB,WAS,PHI,6.9,5400,0.6,16.2,7.8
Vernon Davis,TE,WAS,PHI,4.4,5000,0.1,12.8,6.35
Josh Doctson,WR,WAS,PHI,6,5200,0,15.6,7.8
Dustin Hopkins,K,WAS,PHI,7.4,4800,2.3,12.4,5.05
Washington Redskins,DEF,WAS,PHI,6.4,4600,1.9,10.9,4.5
Niles Paul,TE,WAS,PHI,1.1,4500,0,10.6,5.3
Samaje Perine,RB,WAS,PHI,3,5800,0,13.1,6.55
Brian Quick,WR,WAS,PHI,1,4700,0,11.1,5.55
Ryan Grant,WR,WAS,PHI,0.4,4700,0,10.6,5.3
